log_id,session_id,timestamp,action_type,element_id,duration_sec,error_flag,decision_made
89,1046,2025-01-01 00:38:40,filter,KPI_costs,2.762413150609802,0,0
90,883,2025-01-01 00:24:20,drill_down,table_details,3.0000167662920547,0,1
91,313,2025-01-01 00:15:01,drill_down,table_details,1.6500512712916415,0,0
92,840,2025-01-01 00:34:46,drill_down,table_details,3.995652415464858,0,0
93,519,2025-01-01 00:45:29,filter,chart_trend,1.0,0,0
94,375,2025-01-01 00:07:05,drill_down,chart_trend,2.8207755163749075,0,0
95,451,2025-01-01 00:39:22,filter,KPI_sales,1.5404453665195244,0,1
96,1015,2025-01-01 00:10:13,filter,chart_trend,20.168614278550606,0,0
97,595,2025-01-01 00:59:40,drill_down,table_details,4.947994968655378,0,0
98,500,2025-01-01 00:46:42,click,table_details,13.834940442360596,0,1
99,464,2025-01-01 00:36:44,click,chart_trend,7.102660128411709,0,0
100,1148,2025-01-01 00:14:31,drill_down,chart_trend,7.301097918583655,0,0
101,113,2025-01-01 00:47:04,filter,table_details,1.0,1,1
102,1036,2025-01-01 00:38:24,click,KPI_sales,1.0,0,1
103,1150,2025-01-01 00:33:19,filter,table_details,2.614269702888821,0,1
104,331,2025-01-01 00:31:33,drill_down,KPI_sales,1.0,0,1
105,140,2025-01-01 00:48:22,click,KPI_costs,2.5970492463480874,0,0
106,902,2025-01-01 00:10:34,filter,table_details,7.699065826418534,0,0
107,1121,2025-01-01 00:41:43,drill_down,chart_trend,9.879630004580783,0,0
108,517,2025-01-01 00:34:54,filter,chart_trend,7.57990684846186,0,1
109,569,2025-01-01 00:56:43,filter,table_details,6.466839720541875,0,0
110,846,2025-01-01 00:34:17,click,KPI_sales,1.0,0,0
111,1093,2025-01-01 00:36:31,drill_down,chart_trend,1.0984083774627544,1,0
112,118,2025-01-01 00:24:14,drill_down,KPI_costs,1.0,0,0
113,888,2025-01-01 00:53:43,filter,chart_trend,13.38886715217796,0,0
114,1083,2025-01-01 00:08:06,click,KPI_sales,3.12741699103692,0,1
115,1057,2025-01-01 00:53:27,drill_down,table_details,4.117771063057172,1,0
116,50,2025-01-01 00:31:36,filter,chart_trend,7.828935010815162,0,0
117,19,2025-01-01 00:51:37,hover,table_details,27.76625691208534,0,0
118,726,2025-01-01 00:51:18,click,table_details,7.638133008115001,0,0
119,197,2025-01-01 00:43:58,click,KPI_costs,1.0,1,1
120,559,2025-01-01 00:51:26,click,KPI_costs,18.630071013128862,0,1
121,452,2025-01-01 00:24:15,filter,table_details,2.0871783493976497,0,1
122,289,2025-01-01 00:49:06,click,KPI_sales,12.50946757795704,0,0
123,1165,2025-01-01 00:57:51,hover,KPI_costs,11.014487576002702,0,0
124,1108,2025-01-01 00:03:26,click,chart_trend,4.290135314382217,0,1
125,391,2025-01-01 00:27:04,drill_down,KPI_costs,5.908387088518945,1,1
126,215,2025-01-01 00:49:17,filter,table_details,2.0765570561728524,1,1
127,215,2025-01-01 00:54:47,filter,KPI_costs,9.701188644737641,0,0
128,128,2025-01-01 00:25:25,hover,KPI_sales,31.008078239817074,0,0
129,760,2025-01-01 00:24:42,filter,KPI_costs,4.457383529024025,0,1
130,404,2025-01-01 00:04:18,click,KPI_sales,49.390094705334796,0,0
131,1053,2025-01-01 00:22:32,click,chart_trend,2.3270704726598734,0,1
132,338,2025-01-01 00:07:33,drill_down,KPI_costs,1.0281941098887344,1,0
133,831,2025-01-01 00:13:18,hover,chart_trend,51.960940815971675,0,0
134,714,2025-01-01 00:06:14,click,table_details,3.7738081917864466,0,0
135,361,2025-01-01 00:41:51,drill_down,chart_trend,15.692402128467613,0,0
136,569,2025-01-01 00:01:14,filter,KPI_costs,1.0,0,1
137,218,2025-01-01 00:04:01,drill_down,KPI_costs,7.912962118497206,0,1
138,202,2025-01-01 00:17:20,hover,KPI_sales,1.0,1,0
139,17,2025-01-01 00:28:32,click,KPI_costs,5.617560044987417,0,1
140,322,2025-01-01 00:55:30,drill_down,table_details,10.671424517154147,0,0
141,518,2025-01-01 00:02:02,filter,KPI_sales,7.769164104618218,0,0
142,681,2025-01-01 00:33:22,drill_down,KPI_costs,7.9030478561755135,0,0
143,1106,2025-01-01 00:56:22,filter,KPI_costs,3.1633795719875697,0,0
144,425,2025-01-01 00:35:58,drill_down,KPI_costs,8.035180127575636,0,1
145,1019,2025-01-01 00:55:27,click,KPI_costs,15.435094027202215,1,0
146,387,2025-01-01 00:38:01,filter,table_details,5.491648228869083,0,0
147,778,2025-01-01 00:50:15,drill_down,KPI_costs,6.241917422866186,0,1
148,98,2025-01-01 00:08:16,click,KPI_sales,14.580391918546432,0,1
149,208,2025-01-01 00:51:51,click,KPI_costs,1.0395273179725206,0,1
150,586,2025-01-01 00:19:05,filter,KPI_sales,7.352092944842238,0,0
151,166,2025-01-01 00:24:33,click,KPI_sales,5.146167470883633,0,1
152,22,2025-01-01 00:12:06,drill_down,KPI_costs,4.320268865520653,0,0
153,154,2025-01-01 00:30:31,drill_down,table_details,4.189143215073048,0,0
154,219,2025-01-01 00:30:21,click,KPI_costs,8.016027851949648,0,0
155,669,2025-01-01 00:30:16,drill_down,KPI_costs,18.229707769575974,1,1
156,230,2025-01-01 00:59:50,filter,KPI_sales,8.399940585976804,0,0
157,20,2025-01-01 00:01:31,filter,chart_trend,2.456221170493282,0,1
158,553,2025-01-01 00:57:12,click,chart_trend,1.1861822466140284,0,0
159,950,2025-01-01 00:32:49,hover,table_details,30.623255678410636,0,0
160,148,2025-01-01 00:53:14,filter,KPI_sales,2.901017045813195,1,0
161,1132,2025-01-01 00:39:44,click,table_details,5.021658496466687,0,0
162,403,2025-01-01 00:08:32,drill_down,KPI_costs,1.0,0,1
163,596,2025-01-01 00:10:02,filter,KPI_costs,13.33520112799639,0,1
164,367,2025-01-01 00:07:07,drill_down,table_details,12.604279641905505,0,1
165,802,2025-01-01 00:33:39,hover,KPI_sales,9.491345185092463,0,0
166,918,2025-01-01 00:24:16,click,KPI_costs,3.5212552367415055,0,0
167,1158,2025-01-01 00:00:06,drill_down,KPI_sales,3.742518040597943,1,1
168,73,2025-01-01 00:36:07,hover,KPI_costs,5.481574381415571,0,1
169,481,2025-01-01 00:40:34,filter,KPI_costs,4.113334645429616,0,1
170,560,2025-01-01 00:22:53,drill_down,table_details,1.4756245563462966,0,0
171,745,2025-01-01 00:10:40,filter,table_details,2.101595566737703,0,0
172,100,2025-01-01 00:18:41,click,KPI_sales,3.213692459435485,0,0
173,1083,2025-01-01 00:17:46,drill_down,chart_trend,1.0,0,0
174,508,2025-01-01 00:37:10,hover,chart_trend,3.3392957460827053,0,0
175,258,2025-01-01 00:45:44,click,chart_trend,13.766708674449161,0,0
176,413,2025-01-01 00:09:24,filter,KPI_costs,5.0677117504872475,0,0
177,1089,2025-01-01 00:28:16,hover,chart_trend,1.6426588524116785,0,0
178,595,2025-01-01 00:55:06,click,table_details,9.493626891853408,0,0
179,1178,2025-01-01 00:07:25,drill_down,chart_trend,1.0,0,0
180,266,2025-01-01 00:32:10,filter,chart_trend,1.3432802256314214,0,0
181,821,2025-01-01 00:03:19,click,chart_trend,6.9808446990528745,0,0
182,1103,2025-01-01 00:49:55,click,chart_trend,8.927705488223738,0,0
183,662,2025-01-01 00:08:32,click,chart_trend,2.793469176476912,0,0
184,947,2025-01-01 00:59:57,filter,KPI_sales,2.605641887427713,0,0
185,560,2025-01-01 00:16:29,click,table_details,1.0,0,1
186,917,2025-01-01 00:37:40,filter,chart_trend,2.683180711381867,0,0
187,891,2025-01-01 00:23:21,click,KPI_costs,25.614495727878108,0,0
188,868,2025-01-01 00:30:12,click,KPI_sales,4.047640448984564,0,0
189,610,2025-01-01 00:09:05,hover,KPI_costs,3.1779078096129,1,0
190,414,2025-01-01 00:42:13,click,table_details,7.880544798665729,0,0
191,25,2025-01-01 00:33:29,filter,chart_trend,36.14720369344855,0,0
192,284,2025-01-01 00:57:12,click,table_details,4.6060048914392775,0,0
193,881,2025-01-01 00:30:05,click,chart_trend,1.0,0,1
194,301,2025-01-01 00:36:55,drill_down,chart_trend,10.110763977767286,0,0
195,1092,2025-01-01 00:14:49,filter,KPI_costs,18.21738526341039,0,1
196,1031,2025-01-01 00:15:30,drill_down,table_details,9.124828085106948,0,0
197,817,2025-01-01 00:57:55,filter,chart_trend,5.501662243332989,0,1
198,1161,2025-01-01 00:13:47,click,table_details,2.2636352277042415,0,0
199,1188,2025-01-01 00:36:24,click,chart_trend,4.724604808001075,1,1
200,83,2025-01-01 00:55:04,drill_down,table_details,4.388781155465792,0,0
201,1097,2025-01-01 00:36:02,filter,table_details,26.30531254130667,0,0
202,46,2025-01-01 00:21:15,drill_down,chart_trend,1.0,0,0
203,618,2025-01-01 00:25:16,click,table_details,3.6287519053879795,0,0
204,928,2025-01-01 00:21:52,click,chart_trend,2.98072187140124,0,0
205,262,2025-01-01 00:17:52,drill_down,chart_trend,32.19949806851931,0,1
206,176,2025-01-01 00:58:43,click,chart_trend,1.0,0,1
207,1190,2025-01-01 00:08:35,drill_down,KPI_sales,2.7677702755799656,0,1
208,657,2025-01-01 00:31:54,click,chart_trend,29.14666452707151,1,0
209,842,2025-01-01 00:11:27,hover,table_details,1.387461321358995,0,0
210,370,2025-01-01 00:16:59,hover,KPI_sales,12.458685935368546,0,0
211,54,2025-01-01 00:21:35,filter,chart_trend,6.635999457800164,0,1
212,690,2025-01-01 00:58:22,filter,table_details,18.911385488190653,0,0
213,1151,2025-01-01 00:17:29,drill_down,table_details,16.51497896261895,0,0
214,367,2025-01-01 00:18:13,filter,table_details,6.868595656851735,0,0
215,644,2025-01-01 00:39:00,drill_down,KPI_sales,6.464204874125727,0,0
216,379,2025-01-01 00:57:57,filter,KPI_costs,1.3104964832064983,0,1
217,73,2025-01-01 00:20:57,click,KPI_costs,1.0,0,1
218,915,2025-01-01 00:37:58,hover,KPI_sales,10.53706992517869,0,1
219,860,2025-01-01 00:55:34,drill_down,chart_trend,7.5855763435785635,0,1
220,43,2025-01-01 00:49:45,filter,KPI_costs,12.692500681603608,0,0
221,377,2025-01-01 00:26:49,hover,KPI_costs,1.0,0,0
222,1065,2025-01-01 00:19:04,drill_down,table_details,21.706545559811566,0,1
223,170,2025-01-01 00:58:54,click,table_details,1.0,0,0
224,212,2025-01-01 00:08:37,filter,chart_trend,18.80024337999817,0,0
225,39,2025-01-01 00:51:35,filter,KPI_costs,1.6979190676335356,0,1
226,369,2025-01-01 00:11:45,drill_down,table_details,2.408683450892263,0,0
227,757,2025-01-01 00:40:24,click,KPI_sales,16.433151299958983,0,0
228,151,2025-01-01 00:59:31,click,chart_trend,4.803653594429262,0,0
229,1135,2025-01-01 00:32:14,click,table_details,9.484256620028038,0,1
230,1071,2025-01-01 00:41:24,click,table_details,18.41917349356858,0,0
231,1024,2025-01-01 00:48:20,click,table_details,2.7579204335600735,0,0
232,737,2025-01-01 00:29:05,click,KPI_sales,1.1672711418354222,0,1
233,69,2025-01-01 00:27:48,drill_down,KPI_sales,6.220231590025333,0,0
234,299,2025-01-01 00:16:09,click,table_details,3.931551442824192,0,0
235,944,2025-01-01 00:42:26,filter,chart_trend,12.82594268318292,1,0
236,802,2025-01-01 00:19:57,filter,table_details,1.0,1,0
237,296,2025-01-01 00:28:06,filter,KPI_costs,6.947355994110879,0,0
238,203,2025-01-01 00:44:07,click,table_details,5.8042739861673525,0,0
239,61,2025-01-01 00:25:32,click,KPI_sales,15.162140121438458,0,0
240,946,2025-01-01 00:12:57,filter,KPI_costs,6.874872652295691,0,1
241,963,2025-01-01 00:22:13,drill_down,KPI_sales,43.55549021851976,0,1
242,1185,2025-01-01 00:35:17,click,chart_trend,1.0,0,0
243,331,2025-01-01 00:37:32,click,chart_trend,5.602556210135496,0,0
244,338,2025-01-01 00:39:48,drill_down,table_details,29.83924540866208,0,0
245,639,2025-01-01 00:51:43,filter,chart_trend,23.291474981381096,1,1
246,275,2025-01-01 00:51:54,hover,KPI_costs,1.9733042663969629,0,1
247,1188,2025-01-01 00:01:57,drill_down,KPI_sales,14.045923399941318,1,1
248,319,2025-01-01 00:48:56,click,table_details,13.093335833062389,0,0
249,589,2025-01-01 00:00:14,drill_down,chart_trend,26.2646041359702,0,0
250,504,2025-01-01 00:22:25,click,KPI_sales,5.696528044124353,0,1
251,387,2025-01-01 00:34:01,click,KPI_sales,6.027209631935391,0,1
252,870,2025-01-01 00:34:02,drill_down,chart_trend,12.351531623609148,1,0
253,833,2025-01-01 00:15:10,click,table_details,55.16949723429296,0,0
254,1015,2025-01-01 00:44:34,click,KPI_sales,2.9584903159571905,0,0
255,603,2025-01-01 00:56:48,hover,table_details,9.198434548478645,0,0
256,691,2025-01-01 00:25:55,click,KPI_sales,8.897232056191953,0,1
257,494,2025-01-01 00:11:29,click,table_details,15.57745401930009,0,0
258,490,2025-01-01 00:12:53,click,table_details,8.386838795781273,0,1
259,721,2025-01-01 00:26:54,filter,chart_trend,4.902870077718317,0,0
260,1097,2025-01-01 00:57:32,filter,KPI_sales,2.9780195533261065,0,0
261,509,2025-01-01 00:25:34,drill_down,chart_trend,27.83602514160888,0,1
262,390,2025-01-01 00:49:20,hover,KPI_costs,3.272606859421933,0,1
263,295,2025-01-01 00:01:59,filter,table_details,2.3565218282414384,0,1
264,796,2025-01-01 00:34:33,click,KPI_sales,12.587026167757017,0,0
265,865,2025-01-01 00:28:56,drill_down,chart_trend,5.507681283806439,0,0
266,549,2025-01-01 00:01:03,filter,KPI_costs,1.6193433659118968,0,0
267,649,2025-01-01 00:07:39,filter,table_details,3.5586066427606595,0,1
268,568,2025-01-01 00:29:09,click,KPI_sales,1.8199055361924665,1,0
269,853,2025-01-01 00:39:21,click,chart_trend,1.8759199088085023,0,0
270,770,2025-01-01 00:47:32,filter,KPI_sales,1.0,0,0
271,445,2025-01-01 00:26:53,filter,table_details,8.289343833072323,0,0
272,363,2025-01-01 00:54:47,click,KPI_costs,3.712413742343776,0,1
273,123,2025-01-01 00:58:47,click,table_details,1.0,0,0
274,742,2025-01-01 00:50:33,click,KPI_sales,8.421263840403554,0,0
275,680,2025-01-01 00:46:23,click,table_details,2.8174262854149195,0,1
276,420,2025-01-01 00:48:56,click,chart_trend,1.4144140695335414,0,0
277,92,2025-01-01 00:26:03,filter,KPI_sales,25.81543804193836,0,0
278,63,2025-01-01 00:16:21,drill_down,KPI_sales,1.0,0,1
279,512,2025-01-01 00:43:46,drill_down,KPI_sales,3.91075425473744,0,1
280,1163,2025-01-01 00:59:04,drill_down,KPI_costs,7.647339770244524,0,1
281,772,2025-01-01 00:57:10,click,KPI_costs,40.18303224807559,0,0
282,256,2025-01-01 00:19:09,click,KPI_sales,1.0,0,0
283,135,2025-01-01 00:16:11,filter,KPI_costs,21.449326483279805,1,1
284,875,2025-01-01 00:48:28,click,KPI_costs,17.02078208906242,0,1
285,822,2025-01-01 00:11:46,hover,chart_trend,12.082903793499256,0,1
286,88,2025-01-01 00:28:29,click,KPI_costs,1.0,0,0
287,988,2025-01-01 00:52:38,drill_down,KPI_costs,2.749650982215173,0,1
288,1153,2025-01-01 00:22:46,click,KPI_costs,2.529931227023064,0,0
289,823,2025-01-01 00:30:46,drill_down,KPI_sales,6.113027910792221,0,1
290,1027,2025-01-01 00:06:34,filter,KPI_sales,1.0223520525892724,0,0
291,974,2025-01-01 00:08:03,drill_down,KPI_costs,13.554026875747981,0,0
292,934,2025-01-01 00:11:05,filter,chart_trend,9.169999159688082,0,0
293,121,2025-01-01 00:07:35,filter,KPI_costs,15.789983299965769,1,0
294,1062,2025-01-01 00:59:07,hover,chart_trend,2.0146580723648975,0,1
295,1008,2025-01-01 00:03:29,click,table_details,7.750632999046837,0,0
296,925,2025-01-01 00:08:44,drill_down,chart_trend,15.228108942807463,0,0
297,645,2025-01-01 00:11:15,click,KPI_costs,1.0,0,1
298,714,2025-01-01 00:16:41,click,chart_trend,6.398585308934517,1,1
299,860,2025-01-01 00:14:55,filter,chart_trend,10.392791596594453,0,0
300,21,2025-01-01 00:16:43,filter,chart_trend,3.7163040589902567,0,0
301,242,2025-01-01 00:26:39,filter,table_details,3.4899525257459696,0,0
302,455,2025-01-01 00:39:14,click,KPI_costs,1.0,0,0
303,963,2025-01-01 00:52:27,drill_down,chart_trend,5.3821586097761065,0,0
304,621,2025-01-01 00:51:33,click,KPI_costs,7.256814018314147,0,1
305,303,2025-01-01 00:00:59,hover,table_details,10.788739323353004,0,1
306,803,2025-01-01 00:06:25,click,KPI_sales,1.0,0,1
307,964,2025-01-01 00:35:03,click,KPI_costs,4.311915186109424,0,1
308,69,2025-01-01 00:36:55,click,KPI_sales,2.382303063192834,0,0
309,1153,2025-01-01 00:23:55,hover,table_details,1.854229232774864,0,0
310,196,2025-01-01 00:46:04,filter,table_details,2.2552608730909003,1,1
311,140,2025-01-01 00:48:32,filter,KPI_sales,3.5774040289175675,0,0
312,283,2025-01-01 00:29:54,filter,KPI_costs,10.557606476854827,0,0
313,312,2025-01-01 00:54:22,hover,KPI_sales,4.5772205638952626,0,0
314,746,2025-01-01 00:42:09,click,table_details,1.0,0,0
315,277,2025-01-01 00:32:22,click,table_details,3.414225818757223,0,1
316,61,2025-01-01 00:26:30,filter,KPI_costs,1.0,0,1
317,52,2025-01-01 00:58:07,filter,KPI_costs,1.9048980799091875,0,1
318,153,2025-01-01 00:39:47,click,chart_trend,1.1078243471417197,0,0
319,544,2025-01-01 00:13:15,filter,KPI_sales,28.603534885232346,0,0
320,567,2025-01-01 00:14:51,filter,KPI_costs,16.96791600400701,0,1
321,622,2025-01-01 00:47:03,drill_down,KPI_costs,7.845512841353344,0,0
322,314,2025-01-01 00:21:22,hover,KPI_sales,2.3074237653654865,0,0
323,807,2025-01-01 00:57:01,filter,table_details,1.532054538453083,0,1
324,848,2025-01-01 00:10:00,filter,KPI_sales,14.759120377416501,0,0
325,97,2025-01-01 00:41:24,click,KPI_sales,1.0,0,1
326,881,2025-01-01 00:20:45,drill_down,table_details,9.45298724702005,0,0
327,829,2025-01-01 00:23:56,click,KPI_sales,2.7947631033226545,0,1
328,137,2025-01-01 00:22:53,hover,KPI_costs,5.380691345250766,0,1
329,1030,2025-01-01 00:59:13,click,KPI_sales,10.436505093598486,0,1
330,1011,2025-01-01 00:18:02,click,KPI_costs,1.0,0,1
331,109,2025-01-01 00:02:31,click,table_details,1.5443545926428275,0,1
332,547,2025-01-01 00:15:33,hover,KPI_sales,8.333674583545363,0,0
333,1063,2025-01-01 00:43:07,hover,chart_trend,20.17921433281061,0,1
334,662,2025-01-01 00:37:52,hover,KPI_sales,2.3883815716944965,0,0
335,425,2025-01-01 00:22:21,drill_down,KPI_sales,1.2971214941544162,0,0
336,630,2025-01-01 00:43:30,click,KPI_costs,20.703356212201843,0,1
337,261,2025-01-01 00:55:50,click,KPI_costs,16.039525405600415,0,1
338,87,2025-01-01 00:09:17,click,chart_trend,19.244872871469568,0,1
339,465,2025-01-01 00:24:57,drill_down,chart_trend,1.0656784061170224,0,0
340,76,2025-01-01 00:31:09,filter,table_details,20.569100795462752,0,1
341,471,2025-01-01 00:10:17,filter,table_details,6.96497872117525,0,0
342,414,2025-01-01 00:30:19,click,KPI_sales,8.795629121762968,0,0
343,825,2025-01-01 00:00:23,drill_down,KPI_costs,4.842830326393541,0,1
344,895,2025-01-01 00:25:42,hover,KPI_sales,3.512977537535554,0,0
345,726,2025-01-01 00:40:15,drill_down,KPI_costs,1.0,0,0
346,457,2025-01-01 00:33:39,drill_down,table_details,2.0248614319348017,0,0
347,653,2025-01-01 00:16:38,filter,KPI_costs,7.086716474814716,0,1
348,672,2025-01-01 00:39:42,click,KPI_costs,3.0484876789104285,0,0
349,495,2025-01-01 00:24:16,hover,table_details,1.0199203615249595,0,1
350,1069,2025-01-01 00:00:02,click,table_details,9.892967707271156,0,0
351,597,2025-01-01 00:16:47,click,KPI_costs,6.0152924115003366,0,0
352,450,2025-01-01 00:21:21,click,chart_trend,1.0,0,1
353,485,2025-01-01 00:04:22,filter,KPI_costs,8.93080341076248,0,0
354,646,2025-01-01 00:02:00,filter,table_details,15.815195418013467,0,0
355,620,2025-01-01 00:29:03,click,chart_trend,11.958949458696022,0,0
356,1042,2025-01-01 00:00:20,hover,chart_trend,20.688415490318413,0,0
357,662,2025-01-01 00:15:04,hover,KPI_sales,3.2986470829857,0,1
358,758,2025-01-01 00:02:19,click,table_details,1.0,1,1
359,289,2025-01-01 00:59:08,drill_down,KPI_sales,10.01766001155668,0,0
360,721,2025-01-01 00:30:15,drill_down,table_details,18.57962123739844,1,0
361,638,2025-01-01 00:21:52,click,chart_trend,3.0735078817899857,0,0
362,235,2025-01-01 00:03:25,click,chart_trend,2.466985181083425,0,1
363,416,2025-01-01 00:00:42,click,table_details,10.038184191473041,0,1
364,938,2025-01-01 00:48:17,drill_down,chart_trend,10.421623068890629,0,1
365,499,2025-01-01 00:53:09,filter,table_details,14.154561268255584,0,0
366,974,2025-01-01 00:17:08,drill_down,KPI_costs,10.959422347576583,0,1
367,634,2025-01-01 00:37:34,drill_down,table_details,4.092393330975862,0,0
368,1020,2025-01-01 00:44:42,click,table_details,4.399388523498619,0,0
